      facebook youtube newspaper sales
1      45.36  276.12     83.04 26.52
2      47.16   53.40     54.12 12.48
3      55.08   20.64     83.16 11.16
4      49.56  181.80     70.20 22.20
5      12.96  216.96     70.08 15.48
6      58.68   10.44     90.00  8.64
7      39.36   69.00     28.20 14.16
8      23.52  144.24     13.92 15.84
9       2.52   10.32      1.20  5.76
10      3.12  239.76     25.44 12.72
11      6.96   79.32     29.04 10.32
12     28.80  257.64      4.80 20.88
13     42.12   28.56     79.08 11.04
14      9.12  117.00      8.64 11.64
15     39.48  244.92     55.20 22.80
16     57.24  234.48     63.48 26.88
17     43.92   81.36    136.80 15.00
18     47.52  337.68     66.96 29.28
19     24.60   83.04     21.96 13.56
20     28.68  176.76     22.92 17.52
21     33.24  262.08     64.08 21.60
22      6.12  284.88     28.20 15.00
23     19.08   15.84     59.52  6.72
24     20.28  273.96     31.44 18.60
25     15.12   74.76     21.96 11.64
26      4.20  315.48     23.40 14.40
27     35.16  171.48     15.12 18.00
28     20.04  288.12     27.48 19.08
29     32.52  298.56     27.48 22.68
30     19.20   84.72     48.96 12.60
31     33.96  351.48     51.84 25.68
32     20.88  135.48     46.32 14.28
33      1.80  116.64     36.00 11.52
34     24.00  318.72      0.36 20.88
35      1.68  114.84      8.88 11.40
36      4.92  348.84     10.20 15.36
37     52.56  320.28      6.00 30.48
38     59.28   89.64     54.84 17.64
39     32.04   51.72     42.12 12.12
40     45.24  273.60     38.40 25.80
41     26.76  243.00     37.92 19.92
42     40.08  212.40     46.44 20.52
43     33.24  352.32      2.16 24.84
44     10.08  248.28     31.68 15.48
45     30.84   30.12     51.96 10.20
46     27.00  210.12     37.80 17.88
47     11.88  107.64     42.84 12.72
48     49.80  287.88     22.20 27.84
49     18.96  272.64     59.88 17.76
50     14.04   80.28     44.16 11.64
51      3.72  239.76     41.52 13.68
52     11.52  120.48      4.32 12.84
53     50.04  259.68     47.52 27.12
54     55.44  219.12     70.44 25.44
55     34.56  315.24     19.08 24.24
56     59.28  238.68     72.00 28.44
57     33.72    8.76     49.68  6.60
58     23.04  163.44     19.92 15.84
59     59.52  252.96     45.24 28.56
60     35.40  252.84     11.16 22.08
61      2.40   64.20     25.68  9.72
62     51.24  313.56     65.64 29.04
63     18.60  287.16     32.76 18.84
64     35.52  123.24     10.08 16.80
65     51.36  157.32     34.68 21.60
66     11.16   82.80      1.08 11.16
67     29.52   37.80      2.64 11.40
68     17.40  167.16     12.24 16.08
69     33.00  284.88     13.20 22.68
70     52.68  260.16     32.64 26.76
71     36.72  238.92     46.44 21.96
72     17.16  131.76     38.04 14.88
73     39.60   32.16     23.16 10.56
74      6.84  155.28     37.56 13.20
75     29.52  256.08     15.72 20.40
76     52.44   20.28    107.28 10.44
77      1.92   33.00     24.84  8.28
78     34.20  144.60     17.04 17.04
79     35.88    6.48     11.28  6.36
80      9.24  139.20     27.72 13.20
81     32.04   91.68     26.76 14.16
82      4.92  287.76     44.28 14.76
83     24.36   90.36     39.00 13.56
84     53.40   82.08     42.72 16.32
85     51.60  256.20     40.56 26.04
86     22.08  231.84     78.84 18.24
87     33.00   91.56     19.20 14.40
88     48.72  132.84     75.84 19.20
89     30.60  105.96     88.08 15.48
90     57.36  131.76     61.68 20.04
91      5.88  161.16     11.16 13.44
92      1.80   34.32     39.60  8.76
93     40.20  261.24     70.80 23.28
94     43.80  301.08     86.76 26.64
95     16.80  128.88     13.08 13.80
96     37.92  195.96     63.48 20.28
97      4.20  237.12      7.08 14.04
98     25.20  221.88     26.40 18.60
99     50.76  347.64     61.44 30.48
100    50.04  162.24     55.08 20.64
101     5.16  266.88     59.76 14.04
102    43.56  355.68    121.08 28.56
103    12.12  336.24     25.68 17.76
104    20.64  225.48     21.48 17.64
105    41.16  285.84      6.36 24.84
106    55.68  165.48     70.80 23.04
107    13.20   30.00     35.64  8.64
108     0.36  108.48     27.84 10.44
109     0.48   15.72     30.72  6.36
110    32.28  306.48      6.60 23.76
111     9.84  270.96     67.80 16.08
112    45.60  290.04     27.84 26.16
113    18.48  210.84      2.88 16.92
114    24.72  251.52     12.84 19.08
115    56.16   93.84     41.40 17.52
116    42.00   90.12     63.24 15.12
117    17.16  167.04     30.72 14.64
118     0.96   91.68     17.76 11.28
119    44.28  150.84     95.04 19.08
120    19.20   23.28     26.76  7.92
121    32.16  169.56     55.44 18.60
122    26.04   22.56     60.48  8.40
123     2.88  268.80     18.72 13.92
124    41.52  147.72     14.88 18.24
125    38.76  275.40     89.04 23.64
126    14.16  104.64     31.08 12.72
127    46.68    9.36     60.72  7.92
128     0.00   96.24     11.04 10.56
129    58.80  264.36      3.84 29.64
130    14.40   71.52     51.72 11.64
131    47.52    0.84     10.44  1.92
132     3.48  318.24     51.60 15.24
133    32.64   10.08      2.52  6.84
134    40.20  263.76     54.12 23.52
135    46.32   44.28     78.72 12.96
136    56.40   57.96     10.20 13.92
137    46.80   30.72     11.16 11.40
138    34.68  328.44     71.64 24.96
139    31.08   51.60     24.60 11.52
140    52.68  221.88      2.04 24.84
141    20.40   88.08     15.48 13.08
142    42.48  232.44     90.72 23.04
143    39.84  264.60     45.48 24.12
144     6.84  125.52     41.28 12.48
145    17.76  115.44     46.68 13.68
146     2.28  168.36     10.80 12.36
147     8.76  288.12     10.44 15.84
148    58.80  291.84     53.16 30.48
149    48.36   45.60     14.28 13.08
150    30.96   53.64     24.72 12.12
151    16.68  336.84     44.40 19.32
152    10.08  145.20     58.44 13.92
153    27.96  237.12     17.04 19.92
154    47.64  205.56     45.24 22.80
155    25.32  225.36     11.40 18.72
156    13.92    4.92      6.84  3.84
157    52.20  112.68     60.60 18.36
158     1.56  179.76     29.16 12.12
159    44.28   14.04     54.24  8.76
160    22.08  158.04     41.52 15.48
161    21.72  207.00     36.84 17.28
162    42.96  102.84     59.16 15.96
163    21.72  226.08     30.72 17.88
164    44.16  196.20      8.88 21.60
165    17.64  140.64      6.48 14.28
166     4.08  281.40    101.76 14.28
167    45.12   21.48     25.92  9.60
168     6.24  248.16     23.28 14.64
169    28.32  258.48     69.12 20.52
170    12.72  341.16      7.68 18.00
171    13.92   60.00     22.08 10.08
172    25.08  197.40     56.88 17.40
173    24.12   23.52     20.40  9.12
174     8.52  202.08     15.36 14.04
175     4.08  266.88     15.72 13.80
176    58.68  332.28     50.16 32.40
177    36.24  298.08     24.36 24.24
178     9.36  204.24     42.24 14.04
179     2.76  332.04     28.44 14.16
180    12.00  198.72     21.12 15.12
181     3.12  187.92      9.96 12.60
182     6.48  262.20     32.88 14.64
183     6.84   67.44     35.64 10.44
184    51.60  345.12     86.16 31.44
185    25.56  304.56     36.00 21.12
186    54.12  246.00     23.52 27.12
187     2.52  167.40     31.92 12.36
188    34.44  229.32     21.84 20.76
189    16.68  343.20      4.44 19.08
190    14.52   22.44     28.08  8.04
191    49.32   47.40      6.96 12.96
192    12.96   90.60      7.20 11.88
193     4.92   20.64     37.92  7.08
194    50.40  200.16      4.32 23.52
195    42.72  179.64      7.20 20.76
196     4.44   45.84     16.56  9.12
197     5.88  113.04      9.72 11.64
198    11.16  212.40      7.68 15.36
199    50.40  340.32     79.44 30.60
200    10.32  278.52     10.44 16.08
